City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Wind Speed,Country,Date,Rain,Snow
142,Tautira,-17.73,-149.15,69.8,83,20,Clouds,2.24,PF,2020-06-28 16:20:28,0.0,0
143,Kankon,15.02,74.02,81.52,84,100,Rain,4.9,IN,2020-06-28 16:20:28,0.13,0
144,Codrington,-38.27,141.97,42.73,85,18,Clouds,7.11,AU,2020-06-28 16:17:07,0.0,0
145,Morondava,-20.28,44.28,75.9,72,0,Clear,11.83,MG,2020-06-28 16:20:28,0.0,0
146,Vila Franca Do Campo,37.72,-25.43,71.6,83,40,Clouds,6.93,PT,2020-06-28 16:18:40,0.0,0
147,Port Lincoln,-34.73,135.87,52.54,56,0,Clear,10.83,AU,2020-06-28 16:18:43,0.0,0
148,Thompson,55.74,-97.86,59.0,93,90,Clouds,8.05,CA,2020-06-28 16:17:53,0.0,0
149,Port Elizabeth,-33.92,25.57,59.0,72,15,Clouds,20.8,ZA,2020-06-28 16:18:41,0.0,0
150,Varnamo,57.19,14.04,66.0,93,100,Rain,8.01,SE,2020-06-28 16:20:28,1.02,0
151,Souillac,-20.52,57.52,71.6,83,40,Rain,8.05,MU,2020-06-28 16:17:36,0.0,0
152,Bilma,18.69,12.92,104.31,7,0,Clear,7.31,NE,2020-06-28 16:16:51,0.0,0
153,Novoagansk,61.94,76.66,58.15,87,29,Clouds,12.3,RU,2020-06-28 16:20:28,0.0,0
154,Bathurst,-33.42,149.58,39.0,90,0,Clear,2.37,AU,2020-06-28 16:20:28,0.0,0
155,Khatanga,71.97,102.5,77.09,43,44,Clouds,11.01,RU,2020-06-28 16:18:47,0.0,0
156,Nara,34.69,135.8,71.01,70,15,Clouds,3.0,JP,2020-06-28 16:20:28,0.0,0
157,Bethel,41.37,-73.41,84.0,61,75,Clouds,5.82,US,2020-06-28 16:17:03,0.0,0
158,Katherine,-14.47,132.27,69.8,52,96,Clouds,5.82,AU,2020-06-28 16:20:28,0.0,0
159,Ahipara,-35.17,173.17,56.26,74,19,Rain,14.45,NZ,2020-06-28 16:17:04,0.13,0
160,Yerbogachen,61.28,108.01,65.3,65,20,Clouds,5.46,RU,2020-06-28 16:20:28,0.0,0
161,Iroquois Falls,48.77,-80.68,71.6,56,20,Clouds,8.05,CA,2020-06-28 16:20:29,0.0,0
162,Mar Del Plata,-38.0,-57.56,48.2,76,20,Clouds,4.7,AR,2020-06-28 16:18:40,0.0,0
163,Lavrentiya,65.58,-171.0,38.88,81,41,Clouds,9.24,RU,2020-06-28 16:16:50,0.0,0
164,Fairbanks,64.84,-147.72,60.01,58,90,Clouds,3.36,US,2020-06-28 16:20:29,0.0,0
165,Oga,46.46,10.35,78.01,55,75,Clouds,11.41,IT,2020-06-28 16:20:29,0.0,0
166,San Policarpo,12.18,125.51,79.68,80,100,Clouds,1.52,PH,2020-06-28 16:20:29,0.0,0
167,Zhigansk,66.77,123.37,65.37,57,0,Clear,12.08,RU,2020-06-28 16:17:41,0.0,0
168,Kismayo,-0.36,42.55,79.27,81,58,Clouds,14.72,SO,2020-06-28 16:20:29,0.0,0
169,Luanda,-8.84,13.23,75.2,73,20,Clouds,10.29,AO,2020-06-28 16:20:15,0.0,0
170,Komsomolskiy,40.43,71.72,75.2,22,0,Clear,6.93,UZ,2020-06-28 16:18:44,0.0,0
171,Georgetown,5.41,100.34,86.0,74,40,Clouds,10.29,MY,2020-06-28 16:17:51,0.0,0
172,Tiksi,71.69,128.87,40.06,71,91,Clouds,3.49,RU,2020-06-28 16:20:29,0.0,0
173,Alofi,-19.06,-169.92,75.2,88,62,Clouds,2.24,NU,2020-06-28 16:15:06,0.0,0
174,Raahe,64.68,24.48,69.01,49,0,Clear,8.05,FI,2020-06-28 16:20:29,0.0,0
175,Vredendal,-31.67,18.5,56.8,67,22,Clouds,8.79,ZA,2020-06-28 16:20:29,0.0,0
176,Coos Bay,43.37,-124.22,57.0,93,90,Rain,6.93,US,2020-06-28 16:20:29,27.18,0
177,Dikson,73.51,80.55,43.97,100,100,Rain,9.04,RU,2020-06-28 16:20:29,0.19,0
178,Castanos,26.78,-101.42,87.8,40,75,Clouds,9.17,MX,2020-06-28 16:20:29,0.0,0
179,Dolores,-36.31,-57.68,49.39,61,42,Clouds,4.88,AR,2020-06-28 16:20:29,0.0,0
180,Celestun,20.87,-90.4,87.08,61,45,Clouds,4.74,MX,2020-06-28 16:20:29,0.0,0
181,Challapata,-18.9,-66.77,50.14,32,0,Clear,8.72,BO,2020-06-28 16:20:29,0.0,0
182,Derzhavinsk,51.1,66.32,62.49,76,100,Rain,10.18,KZ,2020-06-28 16:20:29,0.38,0
183,Iralaya,15.0,-83.23,80.6,88,75,Clouds,13.73,HN,2020-06-28 16:20:29,0.0,0
184,Phalaborwa,-23.94,31.14,75.2,22,0,Clear,3.36,ZA,2020-06-28 16:20:29,0.0,0
185,Kaitangata,-46.28,169.85,46.0,72,100,Clouds,13.0,NZ,2020-06-28 16:16:46,0.0,0
186,Yining,29.04,114.56,77.43,90,100,Rain,3.02,CN,2020-06-28 16:20:29,0.24,0
187,Autazes,-3.58,-59.13,91.2,51,13,Rain,4.38,BR,2020-06-28 16:20:29,0.34,0
188,Iskateley,67.68,53.15,42.46,74,93,Clouds,15.12,RU,2020-06-28 16:20:30,0.0,0
189,Sitka,57.05,-135.33,53.6,81,75,Clouds,9.17,US,2020-06-28 16:18:47,0.0,0
190,Fayaoue,-20.65,166.53,71.2,73,19,Clouds,17.63,NC,2020-06-28 16:20:30,0.0,0
191,Ancud,-41.87,-73.82,46.0,100,90,Clouds,5.82,CL,2020-06-28 16:18:13,0.0,0
192,Araouane,18.9,-3.53,112.35,7,6,Clear,1.81,ML,2020-06-28 16:20:30,0.0,0
193,Nova Olimpia,-14.8,-57.29,86.31,43,10,Clear,4.03,BR,2020-06-28 16:20:30,0.0,0
194,Collie,-33.37,116.15,50.0,83,98,Rain,11.01,AU,2020-06-28 16:20:30,4.31,0
195,Brae,60.4,-1.35,60.8,72,1,Rain,25.28,GB,2020-06-28 16:17:05,0.13,0
196,Tateyama,34.98,139.87,68.0,100,100,Clouds,7.29,JP,2020-06-28 16:20:30,0.0,0
197,Haines Junction,60.75,-137.51,58.21,44,100,Clouds,3.69,CA,2020-06-28 16:18:42,0.0,0
198,Bambous Virieux,-20.34,57.76,73.99,83,40,Rain,8.05,MU,2020-06-28 16:17:33,0.0,0
199,Fez,34.04,-5.0,95.0,26,20,Clouds,11.41,MA,2020-06-28 16:19:21,0.0,0
200,Broome,42.25,-75.83,78.01,69,40,Clouds,6.93,US,2020-06-28 16:20:30,0.0,0
201,Khapa,21.43,78.97,80.6,78,75,Haze,2.24,IN,2020-06-28 16:20:30,0.0,0
202,Tezu,27.92,96.17,75.56,77,34,Clouds,3.11,IN,2020-06-28 16:20:30,0.0,0
203,Inuvik,68.35,-133.72,51.8,57,40,Clouds,4.7,CA,2020-06-28 16:19:04,0.0,0
204,Ossora,59.24,163.07,52.03,73,100,Clouds,2.17,RU,2020-06-28 16:20:30,0.0,0
205,Tucupita,9.06,-62.05,87.49,63,45,Rain,6.17,VE,2020-06-28 16:20:30,0.45,0
206,Buala,-8.14,159.59,80.44,77,28,Clouds,3.6,SB,2020-06-28 16:17:45,0.0,0
